compound,neg,neu,pos,tweet
-0.0516,0.098,0.902,0.0,Fingers crossed his kids leave the presidency to focus on the company.
0.0,0.0,1.0,0.0,Come down to Saffron and try just one of today's specials for only £6.00!!
0.4003,0.0,0.722,0.278,Happening now at Saffron Restaurant with Diamond Occassion!
0.0,0.0,1.0,0.0,I posted a new photo to Facebook https://t.co/4zviBWH6tu
0.0,0.0,1.0,0.0,I posted a new photo to Facebook https://t.co/aSOCooIqBc
0.0,0.0,1.0,0.0,Take a look at a selection of SOME OF our very own unique dishes &amp; desserts!
0.2263,0.0,0.909,0.091,'Chorizo Al Infierno' for ONLY £2.75 going with the classic .. yet another flaming tapa straight to your table..... https://t.co/rlu0s48ERV
0.5255,0.0,0.596,0.404,Tapas Fiesta @ Saffron Restaurant &amp; Bar!
-0.3182,0.365,0.635,0.0,Raspberry Ketones Weight Loss http://t.co/jTIo6mHd
0.3612,0.0,0.545,0.455,Do you like Biko?
0.0,0.0,1.0,0.0,"If you know a native Japanese speaker who can work in an Eastwood call center, we are offering a 5000 pesos... http://t.co/z1EEsthJZC"
0.4767,0.0,0.763,0.237,"""Friends are the bacon bits in the salad bowl of life."""
0.6705,0.0,0.353,0.647,Let's play Words With Friends.
-0.0772,0.206,0.794,0.0,@julianna12369 sorry hon I'm with Larry
0.3818,0.0,0.536,0.464,Alive or just existence?
-0.1027,0.259,0.741,0.0,We go hard on Earth 🌎
0.7906,0.0,0.632,0.368,"Next week will be awesome:

-Masters
-Braves
-Apple Watch

Hash tag all the above"
0.4201,0.0,0.798,0.202,The Jose Aldo- Connor Mcgregor presser was awesome.. Really like Mcgregor now
0.0,0.0,1.0,0.0,The thick burger el Diablo from Hardee's looks incredible for real
0.0,0.0,1.0,0.0,"A 10 year old boy just said to me ""so America is going to have the first orange president"""
-0.4215,0.259,0.741,0.0,I'm physically ill watching my tv screen right now.
0.0,0.0,1.0,0.0,Meanwhile in Australia https://t.co/QqljtAIKMM
0.0772,0.0,0.755,0.245,I want to go back... https://t.co/5O65NYvFPq
-0.0516,0.146,0.854,0.0,@ECNewlin Zeke’s will leave you full for a month.
